Date,Type,Name,Author
12/27/2015,Book,Benjamin Franklin: An American Life,Walter Isaacson
1/14/2016,Book,Why Did the Chicken Cross the World?,Andrew Lawler
1/23/2016,Book,Siddhartha,Herman Hesse
2/25/2016,Book,Americanah,Chimamanda Adichie
2/29/2016,Book,Dataclysm,Christian Rudder
3/21/2016,Book,The Power of the Dog,Don Winslow
5/13/2016,Book,The Life and Death of Great American Cities,Jane Jacobs
5/19/2016,Book,Fortune Smiles,Adam Johnson
6/3/2016,Book,10:04,Ben Lerner
6/11/2016,Book,Station 11,Emily St. John Mandel
6/14/2016,Book,Fledgling,Octavia Butler
6/27/2016,Book,The Three Body Problem,Cixin Liu
7/1/2016,Book,Between the World and Me,Ta-Nehisi Coates
8/14/2016,Book,Founding Brothers,Joseph J Ellis
9/5/2016,Book,The Boys in the Boat,Daniel James Brown
9/12/2016,Book,Hillbilly Elegy,J. D. Vance
10/1/2016,Book,Binti,Nnedi Okorafor
10/15/2016,Book,Seveneves,Neal Stephenson
11/16/2016,Book,Building a Movement to End the New Jim Crow,Daniel Hunter
12/8/2016,Book,Democracy for Realists,Christopher Achens and Larry Bartels
12/18/2016,Book,My Brilliant Friend,Elena Ferrante
12/22/2016,Book,The House of God,Samuel Shem
12/30/2016,Book,The Undoing Project,Michael Lewis
1/8/2017,Book,Beloved,Toni Morrison
1/24/2017,Book,Oil,Vaclav Smil
2/2/2017,Book,Lexicon,Max Barry
2/8/2017,Book,The Art of War,Sun Tzu
2/13/2017,Book,Capitalist Realism,Mark Fisher
2/20/2017,Book,Olive Kitteridge,Elizabeth Strout
3/3/2017,Book,Getting to Yes,Roger Fisher and William Ury
3/17/2017,Book,The Grapes of Wrath,John Steinbeck
3/24/2017,Book,White Rage,Carol Anderson
4/4/2017,Book,Lincoln in the Bardo,George Saunders
4/24/2017,Book,The Shame of the Nation: The Restoration of Aparthied Schooling in America,Jonathan Kozol
5/5/2017,Book,Weapons of Math Destruction,Cathy O'Neil
5/17/2017,Book,The Argonauts,Maggie Nelson
6/4/2017,Book,Ready Player One,Ernst Cline
7/15/2017,Book,The Attention Merchants,Tim Wu
7/28/2017,Book,Spin,Robet Charles Wilson
8/11/2017,Book,What I Talk About When I Talk About Running,Haruki Murakami
9/3/2017,Book,Norweigan Wood,Haruki Murakami
11/14/2017,Book,Evicted,Matthew Desmond
11/17/2017,Book,The Black Monday Murders: Volume 1,Jonathan Hickman
11/21/2017,Book,Zero to One,Peter Thiel
11/30/2017,Book,The Unbanking of America,Lisa Servon
12/7/2017,Book,Black Flags: The Rise of ISIS,Joby Warrick
12/21/2017,Book,The Power of Habit,Charles Duhigg
12/25/2017,Book,Bluets,Maggie Nelson
1/11/2018,Book,The Nix,Nathan Hill
1/21/2018,Book,Homegoing,Yaa Gyasi
2/2/2018,Book,White Noise,Don Delillo
3/9/2018,Book,Mistborn: The Last Empire,Brian Sanderson
3/17/2018,Book,Unfamiliar Fishes,Sarah Vowell
3/17/2018,Book,The Checklist Manifesto,Atul Gawande
4/28/2018,Book,American Pastoral,Philip Roth
5/5/2018,Book,The Opposite of Loneliness,Marina Keegan
5/19/2018,Book,The Shipping News,Anne Proulx
7/2/2018,Book,Bobos in Paradise,David Brooks
7/24/2018,Book,Pachinko,Min Jin Lee
7/29/2018,Book,A Picture of Dorian Gray,Oscar Wilde
8/9/2018,Book,Men Without Women,Haruki Murakami
9/7/2018,Book,Built,Roma Agrawal
9/22/2018,Book,Severance,Ling Ma
10/7/2018,Book,The Gone World,Tom Sweterlitsch
11/12/2018,Book,Why Buddhism Is True,Robin Wright
11/22/2018,Book,Why We Sleep,Matthew Walker
1/4/2019,Book,Sour Heart,Jenny Zhang
2/3/2019,Book,Fox 8,George Saunders
2/3/2019,Book,The Remains of the Day,Kazuo Ishiguro
2/19/2019,Book,The Marriage Plot,Jeffrey Eugenides
3/19/2019,Book,The Idiot,Elif Batuman
4/21/2019,Book,Middlesex,Jeffrey Eugenides
4/24/2019,Book,The Order of the Day,Éric Vuillard
5/5/2019,Book,Four Futures,Peter Frase
5/26/2019,Book,Green Metropolis,David Owen
6/10/2019,Book,The Mote in God's Eye,Larry Niven and Jerry Pournelle
6/18/2019,Book,Getting It Done: How to Lead When You're Not In Charge,John Richardson and Roger Fisher
